"CMPLNT_NUM","ADDR_PCT_CD","BORO_NM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","CRM_ATPT_CPTD_CD","HADEVELOPT","HOUSING_PSA","JURISDICTION_CODE","JURIS_DESC","KY_CD","LAW_CAT_CD","LOC_OF_OCCUR_DESC","OFNS_DESC","PARKS_NM","PATROL_BORO","PD_CD","PD_DESC","PREM_TYP_DESC","RPT_DT","STATION_NAME","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","TRANSIT_DISTRICT","VIC_AGE_GROUP","VIC_RACE","VIC_SEX","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lat_Lon","New Georeferenced Column"
"312800297","123","STATEN ISLAND","01/01/2017","00:00:00","07/03/2025","23:59:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","(null)","PATROL BORO STATEN ISLAND","157","RAPE 1","RESIDENCE-HOUSE","09/12/2025","(null)","25-44","WHITE","M",,"<18","WHITE","F","914803","125922","40.51203825352","-74.24975495245","(40.5120382535219, -74.2497549524458)","POINT (-74.2497549524458 40.5120382535219)"
"301107420","68","BROOKLYN","01/01/2017","12:00:00","12/31/2018","12:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","233","MISDEMEANOR","INSIDE","SEX CRIMES","(null)","PATROL BORO BKLYN SOUTH","175","SEXUAL ABUSE 3,2","RESIDENCE-HOUSE","02/14/2025","(null)","18-24","WHITE HISPANIC","M",,"<18","WHITE HISPANIC","F","977947","172030","40.63886517059","-74.02271208766","(40.6388651705916, -74.0227120876572)","POINT (-74.0227120876572 40.6388651705916)"
"301107418","68","BROOKLYN","01/01/2017","12:00:00","12/31/2018","12:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","233","MISDEMEANOR","INSIDE","SEX CRIMES","(null)","PATROL BORO BKLYN SOUTH","175","SEXUAL ABUSE 3,2","RESIDENCE-HOUSE","02/14/2025","(null)","18-24","WHITE HISPANIC","M",,"<18","WHITE HISPANIC","F","977947","172030","40.63886517059","-74.02271208766","(40.6388651705916, -74.0227120876572)","POINT (-74.0227120876572 40.6388651705916)"
"301589421","66","BROOKLYN","01/01/2017","00:00:00","12/31/2017","23:59:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","233","MISDEMEANOR","INSIDE","SEX CRIMES","(null)","PATROL BORO BKLYN SOUTH","175","SEXUAL ABUSE 3,2","RESIDENCE - APT. HOUSE","02/24/2025","(null)","45-64","UNKNOWN","M",,"18-24","WHITE","F","986764","167283","40.62583754528","-73.99094489423","(40.6258375452829, -73.9909448942322)","POINT (-73.9909448942322 40.6258375452829)"
"299929477","79","BROOKLYN","01/01/2017","00:00:00","01/31/2017","23:59:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","104","FELONY","INSIDE","RAPE","(null)","PATROL BORO BKLYN NORTH","157","RAPE 1","RESIDENCE - APT. HOUSE","01/23/2025","(null)","25-44","BLACK","M",,"<18","BLACK","F","999496","190300","40.68900139556","-73.94502653287","(40.68900139556, -73.9450265328727)","POINT (-73.9450265328727 40.68900139556)"
"311648197","77","BROOKLYN","01/01/2017","00:00:00","12/31/2017","23:59:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","233","MISDEMEANOR","INSIDE","SEX CRIMES","(null)","PATROL BORO BKLYN NORTH","175","SEXUAL ABUSE 3,2","OTHER","08/22/2025","(null)","45-64","UNKNOWN","M",,"18-24","WHITE","F","1003509","185018","40.67449568653","-73.9305713256","(40.6744956865259, -73.9305713255961)","POINT (-73.9305713255961 40.6744956865259)"
"304796410","77","BROOKLYN","01/01/2017","00:01:00","12/31/2017","23:59:00","COMPLETED","(null)","365","2","N.Y. HOUSING POLICE","233","MISDEMEANOR","INSIDE","SEX CRIMES","(null)","PATROL BORO BKLYN NORTH","175","SEXUAL ABUSE 3,2","RESIDENCE - PUBLIC HOUSING","04/15/2025","(null)","UNKNOWN","UNKNOWN","F",,"<18","BLACK","F","1003509","185018","40.67449568653","-73.9305713256","(40.6744956865259, -73.9305713255961)","POINT (-73.9305713255961 40.6744956865259)"
"303265689","71","BROOKLYN","01/01/2017","00:01:00","01/01/2017","23:59:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","578","VIOLATION","INSIDE","HARRASSMENT 2","(null)","PATROL BORO BKLYN SOUTH","638","HARASSMENT,SUBD 3,4,5","RESIDENCE - APT. HOUSE","03/19/2025","(null)","25-44","BLACK","M",,"<18","WHITE","F","1003539","181296","40.66428","-73.930473","(40.66428, -73.930473)","POINT (-73.930473 40.66428)"
"299567845","81","BROOKLYN","01/01/2017","08:00:00","01/31/2017","17:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","116","FELONY","INSIDE","SEX CRIMES","(null)","PATROL BORO BKLYN NORTH","177","SEXUAL ABUSE","RESIDENCE - APT. HOUSE","01/16/2025","(null)","18-24","BLACK","F",,"<18","BLACK","F","1005319","190473","40.68946429526","-73.92402908995","(40.6894642952604, -73.9240290899499)","POINT (-73.9240290899499 40.6894642952604)"
"311973711","81","BROOKLYN","01/01/2017","09:00:00","08/26/2025","10:00:00","COMPLETED","(null)","450","2","N.Y. HOUSING POLICE","112","FELONY","INSIDE","THEFT-FRAUD","(null)","PATROL BORO BKLYN NORTH","739","FRAUD,UNCLASSIFIED-FELONY","RESIDENCE - PUBLIC HOUSING","08/27/2025","(null)","UNKNOWN","UNKNOWN","U",,"45-64","BLACK","M","1004856","187467","40.681217","-73.925707","(40.681217, -73.925707)","POINT (-73.925707 40.681217)"
